フェーズ,タスク,サブタスク,工数（人月）,備考
0,開発環境のコンテナ化,Dockerコンテナ環境の構築,0.3,複数PHPバージョン対応のDockerfile作成、設定
0,開発環境のコンテナ化,開発ワークフロー整備,0.1,デバッグ環境構築、ホットリロード設定
0,開発環境のコンテナ化,CI/CDパイプライン構築,0.1,基本的な自動テスト環境の整備
1,現状評価と準備,詳細な依存関係の調査,0.3,コードベース分析、互換性問題の特定
1,現状評価と準備,テスト環境の構築,0.2,テストシナリオ作成、基本テスト自動化
2,共通コンポーネント,XSYS_Controllerの移行,0.5,CI4のコントローラー構造への適応
2,共通コンポーネント,ヘルパー関数の移行,0.3,名前空間対応、PHP 7.4/8.x互換性確保
2,共通コンポーネント,ユーティリティクラスの移行,0.4,名前空間導入、型宣言追加
2,共通コンポーネント,設定ファイルの移行,0.3,.env導入、CI4形式への変換
2,基本表示機能,Pagesコントローラーの移行,0.3,CI4形式への変換、型宣言追加
2,基本表示機能,テンプレート（header/footer）の移行,0.3,ビューレンダリング変更対応
2,基本表示機能,静的ページの移行,0.2,新ディレクトリ構造への対応
2,レーサー管理機能,Racerコントローラーの移行,0.3,CI4形式への変換、型宣言追加
2,レーサー管理機能,Racer_modelの移行,0.4,エンティティ導入、リレーション実装
2,レーサー管理機能,関連ビューの移行,0.3,ビューレンダリング変更対応
2,レース管理機能,Raceコントローラーの移行,0.3,CI4形式への変換、型宣言追加
2,レース管理機能,Race_modelの移行,0.4,エンティティ導入、リレーション実装
2,レース管理機能,関連ビューの移行,0.3,ビューレンダリング変更対応
2,大会管理機能,Meetコントローラーの移行,0.3,CI4形式への変換、型宣言追加
2,大会管理機能,Meet_modelの移行,0.4,エンティティ導入、リレーション実装
2,大会管理機能,関連ビューの移行,0.3,ビューレンダリング変更対応
2,ポイントシリーズ機能,Point_seriesコントローラーの移行,0.3,CI4形式への変換、型宣言追加
2,ポイントシリーズ機能,Pointseries_modelの移行,0.3,エンティティ導入、リレーション実装
2,ポイントシリーズ機能,関連ビューの移行,0.2,ビューレンダリング変更対応
2,ランキング機能,Ajocc_rankingコントローラーの移行,0.3,CI4形式への変換、型宣言追加
2,ランキング機能,Ajoccranking_modelの移行,0.4,エンティティ導入、複雑な計算ロジック対応
2,ランキング機能,関連ビューの移行,0.2,ビューレンダリング変更対応
3,テストと最終調整,総合テスト,0.5,全機能の結合テスト
3,テストと最終調整,パフォーマンス最適化,0.3,ボトルネック特定と最適化
3,テストと最終調整,ドキュメント作成,0.2,更新手順、新アーキテクチャの文書化
4,本番環境への展開,本番環境のコンテナ化,0.3,本番用最適化、オーケストレーション
4,本番環境への展開,段階的デプロイ,0.2,ブルー/グリーンデプロイ実施
,,,,
工数計算の前提条件,,,,
,1日あたりの稼働時間,8時間,,
,月の稼働日数,20日,平日のみ,
,1人月の総稼働時間,160時間,8時間 × 20日,
,想定稼働率,80%,実質的な作業時間として,
,総工数（時間）,1520時間,9.5人月 × 160時間,
